al-istihlāl,G F E,E F G,F A G,G A B C A G,A B C,F E D C,,,,,,
`IRAQ AL-`ARAB,E D C,E F G,C D E,G F E,,,,,,,,
al-māya,B- A G,E F G,B D C,B C,E F G E F E D C,G F E,,,,,,
AL-HOUSSAYN,F A G,E F G,C B A G,G A F,A G F,D E F,F G A,B C A,B G A,F E D C,F E D,F D E C D
raml al-māya,B- A G,E F G,F A G,A G F,C D E F,F E D C ,B C E,F E D,G F E D,F D E C D,,
AL-ISBAHAN,C B A G,E F G,G F E,B D C,F E D C,D C B,F E D,B C D,C F E D,F E F G D B C D,,
al-ḥiŷāz al-kabīr,C B A G,E F# G,C B A G,A G F# E- D C,F E D C B,F# G A,C E D,B C D,A G F# E- D,A G F# E- D,D E C D,
al-raṣd,F# G A,G E,C D E,E D C,E F# G,B A G,D C A G,C A G,D E C D,,,
raṣd al-ḏāyl,E F G,B- A G,B C D,G E,C D G F E D C D E C,C D E C,C D A G F E D C,C D C E D C,C A G C,,,
AL-HIJAZ AL-MASRIQUI,E F# G,C D E,C B A G,A G F# E- D,D E C D,,,,,,,
AL-SIKA,E D C,E F G,C D E,A G E F D E,,,,,,,,
‘irāq al-‘aŷam,F# G A,G F# E D,F E D,F E D C,G A G B,D E D C B A B A G,E F# G A G,,,,,
al-‘uššāq,D E G E,E F# G A G,F E C,B C E D,B A G,G D E,E F G F E D,C B A G,G A B C D,C B A G,G E D G,
AL-DHAYL,E F G,C B A G,G A B C,F E D C,C E D,B C,,,,,,
RAML AL-DHAYL,G A B,B C D,A G E D,B A G,G A B G,E D G,,,,,,
AL-HAMDAN,F E D,F E D C,F G A,C D E F,A G F,,,,,,,
INQUILAB AL-RAMAL,E F G,C B A G,F A G,C D E F,G F E,F E D C,F G A,C B A,D C B,F D E C D,G F E D,F G D B C D
AL-ZAWRAKAND,C B A G,G F E,B C D,C F E D,B C D,,,,,,,
AL-MASIQUI AL-SAGHIR,E F# G A G,G F# E D,D C A G,,,,,,,,,
MOUJANNAB AL-DHAYL,C B A G,F# G B A,D F#,F# E D,A G F# E D,D B A D,,,,,,
AL-HISSAR,F G A,C B C A,E F G,A G F,C D E F,,,,,,,
AL-ZAYADANE,C B A G,C D E,E D C,A G F# E- D C,G F# E- D,,,,,,,
AL-MAZMOUM,G D,F# G A,B A G,E F# G,G A B A G A G,,,,,,,
al-mašriquī,F G A,A G F,C D F,F E D C,A B C A,B C D,F E D,,,,,
garībat al-ḥusayn,E F G,F E D,B C D,G A G,E F E F G,C B A G,G F E,C D E,E D C,E F D C D E,,
AL-GHARIBAT AL-MOUHARRARA,C D E,G F E,B C D,E F D E,F E D,,,,,,,
