AL-ISTIHLAL,A B C,F E D C,,,
`IRAQ AL-`ARAB,G F E,,,,
AL-MAYA,B C,E F G E F E D C,G F E,,
AL-HOUSSAYN,F E D,F D E C D,,,
RAML AL-MAYA,F D E C D,,,,
AL-ISBAHAN,C F E D,F E F G D B C D,,,
AL HIJAZ AL-KABIR,A G F# E- D,D E C D,,,
AL-RASD,D E C D,,,,
RASD AL-DHAYL,C D G F E D C D E C,C D E C,C D A G F E D C,C D C E D C,C A G C
AL-HIJAZ AL-MASRIQUI,A G F# E- D,D E C D,,,
AL-SIKA,A G E F D E,,,,
'IRAQ AL-AJAM,D E D C B A B A G,E F# G A G,,,
AL-`OUSSAQ,C B A G,G E D G,,,
AL-DHAYL,B C,,,,
RAML AL-DHAYL,B A G,G A B G,E D G,,
AL-HAMDAN,C D E F,A G F,,,
INQUILAB AL-RAMAL,F D E C D,G F E D,F G D B C D,,
AL-ZAWRAKAND,C F E D,B C D,,,
AL-MASIQUI AL-SAGHIR,D C A G,,,,
MOUJANNAB AL-DHAYL,D B A D,,,,
AL-HISSAR,D,,,,
AL-ZAYADANE,G F# E- D,,,,
AL-MAZMOUM,E F# G,G A B A G A G,,,
AL-MASRIQUI,F E D,,,,
GHARIBAT AL-HOUSSAN,G F E,C D E,E D C,E F D C D E,
AL-GHARIBAT AL-MOUHARRARA,F E D,,,,
